D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_093.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_093.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_093.jpg,0,0,0,2.982175
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_161.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_161.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_161.jpg,0,0,0,2.957922
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_231.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_231.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_231.jpg,0,0,0,2.939862
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_302.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_302.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_302.jpg,0,0,0,2.915954
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_372.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_372.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_372.jpg,0,0.162042,0,2.955394
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_441.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_441.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_441.jpg,0,0.3950505,0,3.218523
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_512.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_512.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_512.jpg,0,0.5826459,0,3.58805
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_585.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_585.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_585.jpg,0,0.8233527,0,4.249313
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_659.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_659.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_659.jpg,0,1,0,5.126697
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_726.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_726.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_726.jpg,0,1,0,5.820623
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_800.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_800.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_800.jpg,0,1,0,6.739538
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_871.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_871.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_871.jpg,0,1,0,7.424006
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_36_944.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_36_944.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_36_944.jpg,0,1,0,8.268636
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_016.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_016.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_016.jpg,0,1,0,9.00913
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_083.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_083.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_083.jpg,0,1,0,9.900333
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_155.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_155.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_155.jpg,0,1,0,10.56442
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_229.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_229.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_229.jpg,0,1,0,11.54128
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_302.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_302.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_302.jpg,0,1,0,12.35349
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_376.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_376.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_376.jpg,0,1,0,12.99284
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_449.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_449.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_449.jpg,0,1,0,13.75717
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_516.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_516.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_516.jpg,0,1,0,14.48894
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_585.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_585.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_585.jpg,0,1,0,15.36465
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_658.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_658.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_658.jpg,0,1,0,16.19384
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_726.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_726.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_726.jpg,0,1,0,16.76952
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_796.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_796.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_796.jpg,0,1,0,17.43209
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_867.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_867.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_867.jpg,0,1,0,18.25389
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_37_940.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_37_940.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_37_940.jpg,0,1,0,19.0719
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_38_013.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_38_013.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_38_013.jpg,0.1,1,0,19.67859
D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\center_2024_06_25_21_46_38_085.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\left_2024_06_25_21_46_38_085.jpg,D:\term1-simulator-windows\beta_simulator_windows\Datasets\IMG\right_2024_06_25_21_46_38_085.jpg,0,1,0,20.47374
